Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996209955,22/02/2021 12:16:49,1613996210394,0,22/02/2021 12:16:50,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996216188,22/02/2021 12:16:56,1613996216392,0,22/02/2021 12:16:56,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,1,1,1,instructions,advancementZone,timelimit_screen,5998.456,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996219956,22/02/2021 12:16:59,1613996220384,0,22/02/2021 12:17:00,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,1,C1,Zone3,timelimit_screen,3999.166,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
4,1613996224072,22/02/2021 12:17:04,1613996223326,0,22/02/2021 12:17:03,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,2,D1,Zone3,response_button_text,2931.775000062771,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
5,1613996226867,22/02/2021 12:17:06,1613996227316,0,22/02/2021 12:17:07,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,3,C2,Zone3,timelimit_screen,3999.0319999999992,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
6,1613996229726,22/02/2021 12:17:09,1613996229594,0,22/02/2021 12:17:09,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,4,D2,lose,response_button_text,2266.925000003539,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
7,1613996233711,22/02/2021 12:17:13,1613996233581,0,22/02/2021 12:17:13,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,5,C3,Zone3,timelimit_screen,3999.116000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
8,1613996234671,22/02/2021 12:17:14,1613996235118,0,22/02/2021 12:17:15,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,6,D3,lose,response_button_text,1527.1349999820814,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
9,1613996238663,22/02/2021 12:17:18,1613996239113,0,22/02/2021 12:17:19,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,7,C4,Zone3,timelimit_screen,3999.101999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
10,1613996240438,22/02/2021 12:17:20,1613996240349,0,22/02/2021 12:17:20,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,8,D4,lose,response_button_text,1228.8399999961257,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
11,1613996243880,22/02/2021 12:17:23,1613996244345,0,22/02/2021 12:17:24,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,9,C5,Zone3,timelimit_screen,3998.989999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
12,1613996245204,22/02/2021 12:17:25,1613996245674,0,22/02/2021 12:17:25,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,10,D5,lose,response_button_text,1320.090000052005,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
13,1613996249200,22/02/2021 12:17:29,1613996249660,0,22/02/2021 12:17:29,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,11,C6,Zone3,timelimit_screen,3999.0020000000004,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
14,1613996250673,22/02/2021 12:17:30,1613996250734,0,22/02/2021 12:17:30,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,12,D6,lose,response_button_text,1066.3250000216067,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
15,1613996254254,22/02/2021 12:17:34,1613996254726,0,22/02/2021 12:17:34,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,13,C7,Zone3,timelimit_screen,3999.0930000000008,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
16,1613996255254,22/02/2021 12:17:35,1613996255726,0,22/02/2021 12:17:35,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,14,D7,lose,response_button_text,991.4349999744445,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
17,1613996259267,22/02/2021 12:17:39,1613996259725,0,22/02/2021 12:17:39,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,15,C8,Zone3,timelimit_screen,3998.9720000000016,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
18,1613996260065,22/02/2021 12:17:40,1613996260541,0,22/02/2021 12:17:40,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,16,D8,lose,response_button_text,807.0349999470636,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
19,1613996264080,22/02/2021 12:17:44,1613996264540,0,22/02/2021 12:17:44,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,17,C9,Zone3,timelimit_screen,3999.028999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
20,1613996265112,22/02/2021 12:17:45,1613996265538,0,22/02/2021 12:17:45,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,18,D9,BEST,response_button_text,988.0700000794604,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
21,1613996268465,22/02/2021 12:17:48,1613996268522,0,22/02/2021 12:17:48,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,27,3star,advancementZone,timelimit_screen,2999.2750000000015,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
22,1613996268512,22/02/2021 12:17:48,1613996268539,0,22/02/2021 12:17:48,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,10,1,29,next,content,timelimit_screen,16.665000000000873,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
23,1613996274074,22/02/2021 12:17:54,1613996274537,0,22/02/2021 12:17:54,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,3,2,1,instructions,advancementZone,timelimit_screen,5998.578999999998,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1613996278092,22/02/2021 12:17:58,1613996278537,0,22/02/2021 12:17:58,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,1,C1,Zone3,timelimit_screen,3999.0190000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
25,1613996281311,22/02/2021 12:18:01,1613996281181,0,22/02/2021 12:18:01,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,2,D1,Zone3,response_button_text,2635.664999950677,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
26,1613996284704,22/02/2021 12:18:04,1613996285168,0,22/02/2021 12:18:05,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,3,C2,Zone3,timelimit_screen,3999.021000000008,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
27,1613996286836,22/02/2021 12:18:06,1613996286849,0,22/02/2021 12:18:06,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,4,D2,lose,response_button_text,1673.1849999632686,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
28,1613996290384,22/02/2021 12:18:10,1613996290834,0,22/02/2021 12:18:10,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,5,C3,Zone3,timelimit_screen,3999.152000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
29,1613996291743,22/02/2021 12:18:11,1613996291769,0,22/02/2021 12:18:11,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,6,D3,lose,response_button_text,927.0099999848753,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
30,1613996295886,22/02/2021 12:18:15,1613996295766,0,22/02/2021 12:18:15,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,7,C4,Zone3,timelimit_screen,3999,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
31,1613996296433,22/02/2021 12:18:16,1613996296897,0,22/02/2021 12:18:16,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,8,D4,BEST,response_button_text,1123.714999994263,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
32,1613996299418,22/02/2021 12:18:19,1613996299881,0,22/02/2021 12:18:19,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,26,5star,advancementZone,timelimit_screen,2999.2949999999983,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
33,1613996300078,22/02/2021 12:18:20,1613996299898,0,22/02/2021 12:18:19,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,2,2,29,next,content,timelimit_screen,16.6990000000078,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1229.99</strong>,<strong>989.99</strong>,<strong>745.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1320</strong>,<strong>915</strong>,<strong>1083</strong>,<strong>795.99</strong>,,3star,lose,lose,5star,1star,lose,lose,lose,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option4,Option1,Option5
34,1613996305445,22/02/2021 12:18:25,1613996305897,0,22/02/2021 12:18:25,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,5,3,1,instructions,advancementZone,timelimit_screen,5998.524000000005,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1613996309856,22/02/2021 12:18:29,1613996309896,0,22/02/2021 12:18:29,27660,6,task-iqyk,,10250370,5f40d6c251a8cd21d01b6f40,3117638,,complete,,6033a0178b173106a50e6808,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x722,,Bruno sequence,4,8,8,8,6,3,1,C1,Zone3,timelimit_screen,3998.9809999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>715</strong>,<strong>1155.99</strong>,<strong>768</strong>,<strong>723</strong>,<strong>552</strong>,<strong>1253.99</strong>,,lose,1star,5star,lose,lose,lose,lose,lose,3star,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option3,Option9,Option2
