Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082406853,23/02/2021 12:13:26,1614082406723,0,23/02/2021 12:13:26,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082412859,23/02/2021 12:13:32,1614082412745,0,23/02/2021 12:13:32,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,1,1,1,instructions,advancementZone,timelimit_screen,6002.0869999999995,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082416750,23/02/2021 12:13:36,1614082416731,0,23/02/2021 12:13:36,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,1,C1,Zone3,timelimit_screen,4001.4929999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
4,1614082418063,23/02/2021 12:13:38,1614082418035,0,23/02/2021 12:13:38,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,2,D1,Zone3,response_button_text,1280.399999999645,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
5,1614082422046,23/02/2021 12:13:42,1614082422032,0,23/02/2021 12:13:42,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,3,C2,Zone3,timelimit_screen,4001.3590000000004,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
6,1614082423516,23/02/2021 12:13:43,1614082423404,0,23/02/2021 12:13:43,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,4,D2,lose,response_button_text,1351.859999998851,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
7,1614082427412,23/02/2021 12:13:47,1614082427401,0,23/02/2021 12:13:47,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,5,C3,Zone3,timelimit_screen,4001.360999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
8,1614082428225,23/02/2021 12:13:48,1614082428201,0,23/02/2021 12:13:48,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,6,D3,lose,response_button_text,774.2150000012771,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
9,1614082432283,23/02/2021 12:13:52,1614082432186,0,23/02/2021 12:13:52,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,7,C4,Zone3,timelimit_screen,4001.3269999999975,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
10,1614082432892,23/02/2021 12:13:52,1614082432772,0,23/02/2021 12:13:52,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,8,D4,lose,response_button_text,565.7050000008894,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
11,1614082436765,23/02/2021 12:13:56,1614082436754,0,23/02/2021 12:13:56,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,9,C5,Zone3,timelimit_screen,4001.323999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
12,1614082437706,23/02/2021 12:13:57,1614082437686,0,23/02/2021 12:13:57,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,10,D5,BEST,response_button_text,904.9449999984063,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
13,1614082440692,23/02/2021 12:14:00,1614082440674,0,23/02/2021 12:14:00,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,26,5star,advancementZone,timelimit_screen,3000.982,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
14,1614082440738,23/02/2021 12:14:00,1614082440696,0,23/02/2021 12:14:00,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,14,1,29,next,content,timelimit_screen,16.67199999999866,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
15,1614082446785,23/02/2021 12:14:06,1614082446692,0,23/02/2021 12:14:06,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,3,2,1,instructions,advancementZone,timelimit_screen,6002.4000000000015,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1614082450789,23/02/2021 12:14:10,1614082450693,0,23/02/2021 12:14:10,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,1,C1,Zone3,timelimit_screen,4001.362000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
17,1614082451571,23/02/2021 12:14:11,1614082451501,0,23/02/2021 12:14:11,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,2,D1,Zone3,response_button_text,789.9749999996857,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
18,1614082455619,23/02/2021 12:14:15,1614082455502,0,23/02/2021 12:14:15,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,3,C2,Zone3,timelimit_screen,4001.3340000000026,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
19,1614082455996,23/02/2021 12:14:15,1614082455984,0,23/02/2021 12:14:15,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,4,D2,lose,response_button_text,463.13999999983935,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
20,1614082459985,23/02/2021 12:14:19,1614082459980,0,23/02/2021 12:14:19,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,5,C3,Zone3,timelimit_screen,4001.3150000000023,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
21,1614082460479,23/02/2021 12:14:20,1614082460460,0,23/02/2021 12:14:20,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,6,D3,lose,response_button_text,455.0650000019232,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
22,1614082464529,23/02/2021 12:14:24,1614082464448,0,23/02/2021 12:14:24,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,7,C4,Zone3,timelimit_screen,4001.293000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
23,1614082464901,23/02/2021 12:14:24,1614082464895,0,23/02/2021 12:14:24,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,8,D4,lose,response_button_text,424.97500000172295,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
24,1614082468886,23/02/2021 12:14:28,1614082468883,0,23/02/2021 12:14:28,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,9,C5,Zone3,timelimit_screen,4001.2969999999987,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
25,1614082469486,23/02/2021 12:14:29,1614082469477,0,23/02/2021 12:14:29,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,10,D5,lose,response_button_text,573.8899999996647,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
26,1614082473592,23/02/2021 12:14:33,1614082473472,0,23/02/2021 12:14:33,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,11,C6,Zone3,timelimit_screen,4001.3129999999946,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
27,1614082474154,23/02/2021 12:14:34,1614082474138,0,23/02/2021 12:14:34,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,12,D6,BEST,response_button_text,642.0099999995728,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
28,1614082477146,23/02/2021 12:14:37,1614082477120,0,23/02/2021 12:14:37,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,26,5star,advancementZone,timelimit_screen,3001.0050000000047,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
29,1614082477208,23/02/2021 12:14:37,1614082477137,0,23/02/2021 12:14:37,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,4,2,29,next,content,timelimit_screen,16.671999999991385,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
30,1614082483258,23/02/2021 12:14:43,1614082483139,0,23/02/2021 12:14:43,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,5,3,1,instructions,advancementZone,timelimit_screen,6002.10100000001,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1614082487213,23/02/2021 12:14:47,1614082487141,0,23/02/2021 12:14:47,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,10,3,1,C1,Zone3,timelimit_screen,4001.655999999988,,,,,0,1,0,,,1,,1,sequence,,,<strong>787</strong>,<strong>1123</strong>,<strong>843</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,3star,lose,1star,lose,lose,lose,lose,lose,lose,lose,lose,5star,<strong>1083</strong>,<strong>667</strong>,Option12,Option1,Option3
32,1614082487937,23/02/2021 12:14:47,1614082487813,0,23/02/2021 12:14:47,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,10,3,2,D1,Zone3,response_button_text,652.0500000005995,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>787</strong>,<strong>1123</strong>,<strong>843</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,3star,lose,1star,lose,lose,lose,lose,lose,lose,lose,lose,5star,<strong>1083</strong>,<strong>667</strong>,Option12,Option1,Option3
33,1614082491844,23/02/2021 12:14:51,1614082491809,0,23/02/2021 12:14:51,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,10,3,3,C2,Zone3,timelimit_screen,4001.3070000000007,,,,,0,1,0,,,1,,1,sequence,,,<strong>787</strong>,<strong>1123</strong>,<strong>843</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,3star,lose,1star,lose,lose,lose,lose,lose,lose,lose,lose,5star,<strong>1083</strong>,<strong>667</strong>,Option12,Option1,Option3
34,1614082492796,23/02/2021 12:14:52,1614082492677,0,23/02/2021 12:14:52,27662,6,task-2vgc,,10287672,603432478798ac24b031ff1a,3130074,,complete,,6034ede241aae54f43343699,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1366x768,1366x617,,Hybrid 2 bruno sequence,5,1,1,1,10,3,4,D2,lose,response_button_text,845.4349999992701,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>787</strong>,<strong>1123</strong>,<strong>843</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,3star,lose,1star,lose,lose,lose,lose,lose,lose,lose,lose,5star,<strong>1083</strong>,<strong>667</strong>,Option12,Option1,Option3
